timestamp,model,repeat,test_id,category,pass,duration_s,status,tool_calls_seen,tool_calls_count,validator_details
2026-03-01T12:22:58,zai-org/glm-4.6v-flash,1,reasoning_01_discount,reasoning,True,14.4689,ok,False,0,got=80.0 expected=80.0 diff=0.0 tol=1e-06
2026-03-01T12:23:05,zai-org/glm-4.6v-flash,1,reasoning_02_split,reasoning,True,7.5246,ok,False,0,got=42.0 expected=42.0 diff=0.0 tol=1e-06
2026-03-01T12:23:17,zai-org/glm-4.6v-flash,1,reasoning_03_syllogism,reasoning,True,11.7731,ok,False,0,ok
2026-03-01T12:23:39,zai-org/glm-4.6v-flash,1,reasoning_04_two_numbers,reasoning,True,21.7339,ok,False,0,"got=(7.0,4.0) expected=(7.0,4.0) tol=1e-06"
2026-03-01T12:23:57,zai-org/glm-4.6v-flash,1,coding_01_median,coding,True,18.3804,ok,False,0,stdout=3 dur=0.075s expected=3
2026-03-01T12:24:24,zai-org/glm-4.6v-flash,1,coding_02_palindrome,coding,False,26.451,ok,False,0,"nonzero_exit=1 stderr=File ""/var/folders/9l/75gc86x118924klg7v0zm1_h0000gn/T/tmpsow6m_wx/solution.py"", line 2
    filtered = ''.join(ch.lower() for ch in s if ch.isalpha()))
                                                              ^
SyntaxError: unmatched ')'"
2026-03-01T12:24:45,zai-org/glm-4.6v-flash,1,tooluse_01_calc,tooluse,False,21.6311,ok,True,1,no_number_found
2026-03-01T12:24:59,zai-org/glm-4.6v-flash,1,tooluse_02_kv,tooluse,True,13.9209,ok,True,1,ok
2026-03-01T12:25:11,zai-org/glm-4.6v-flash,2,reasoning_01_discount,reasoning,True,11.8663,ok,False,0,got=80.0 expected=80.0 diff=0.0 tol=1e-06
2026-03-01T12:25:17,zai-org/glm-4.6v-flash,2,reasoning_02_split,reasoning,True,5.8506,ok,False,0,got=42.0 expected=42.0 diff=0.0 tol=1e-06
2026-03-01T12:25:27,zai-org/glm-4.6v-flash,2,reasoning_03_syllogism,reasoning,True,10.5861,ok,False,0,ok
2026-03-01T12:25:42,zai-org/glm-4.6v-flash,2,reasoning_04_two_numbers,reasoning,True,14.1523,ok,False,0,"got=(7.0,4.0) expected=(7.0,4.0) tol=1e-06"
2026-03-01T12:26:20,zai-org/glm-4.6v-flash,2,coding_01_median,coding,True,38.221,ok,False,0,stdout=3 dur=0.076s expected=3
2026-03-01T12:26:55,zai-org/glm-4.6v-flash,2,coding_02_palindrome,coding,True,35.3699,ok,False,0,stdout=True dur=0.065s expected=True
2026-03-01T12:27:30,zai-org/glm-4.6v-flash,2,tooluse_01_calc,tooluse,False,34.293,ok,False,0,got=17.0 expected=162 diff=145.0 tol=1e-06
2026-03-01T12:27:44,zai-org/glm-4.6v-flash,2,tooluse_02_kv,tooluse,True,14.1122,ok,True,1,ok
2026-03-01T12:27:58,zai-org/glm-4.6v-flash,3,reasoning_01_discount,reasoning,True,13.8632,ok,False,0,got=80.0 expected=80.0 diff=0.0 tol=1e-06
2026-03-01T12:28:04,zai-org/glm-4.6v-flash,3,reasoning_02_split,reasoning,True,6.1028,ok,False,0,got=42.0 expected=42.0 diff=0.0 tol=1e-06
2026-03-01T12:28:12,zai-org/glm-4.6v-flash,3,reasoning_03_syllogism,reasoning,True,8.6833,ok,False,0,ok
2026-03-01T12:28:26,zai-org/glm-4.6v-flash,3,reasoning_04_two_numbers,reasoning,True,14.0063,ok,False,0,"got=(7.0,4.0) expected=(7.0,4.0) tol=1e-06"
2026-03-01T12:28:56,zai-org/glm-4.6v-flash,3,coding_01_median,coding,True,29.2271,ok,False,0,stdout=3 dur=0.075s expected=3
2026-03-01T12:29:45,zai-org/glm-4.6v-flash,3,coding_02_palindrome,coding,False,49.7472,ok,False,0,empty_code
2026-03-01T12:30:09,zai-org/glm-4.6v-flash,3,tooluse_01_calc,tooluse,False,24.0069,ok,False,0,got=17.0 expected=162 diff=145.0 tol=1e-06
2026-03-01T12:30:23,zai-org/glm-4.6v-flash,3,tooluse_02_kv,tooluse,True,13.5872,ok,True,1,ok
2026-03-01T12:30:38,google/gemma-3-12b,1,reasoning_01_discount,reasoning,True,1.1126,ok,False,0,got=80.0 expected=80.0 diff=0.0 tol=1e-06
2026-03-01T12:30:39,google/gemma-3-12b,1,reasoning_02_split,reasoning,True,0.6562,ok,False,0,got=42.0 expected=42.0 diff=0.0 tol=1e-06
2026-03-01T12:30:40,google/gemma-3-12b,1,reasoning_03_syllogism,reasoning,True,0.9263,ok,False,0,ok
2026-03-01T12:31:07,google/gemma-3-12b,1,reasoning_04_two_numbers,reasoning,False,27.0588,ok,False,0,"got=(11.0,3.0) expected=(7.0,4.0) tol=1e-06"
2026-03-01T12:31:20,google/gemma-3-12b,1,coding_01_median,coding,True,13.3491,ok,False,0,stdout=3 dur=0.089s expected=3
2026-03-01T12:31:26,google/gemma-3-12b,1,coding_02_palindrome,coding,True,5.9402,ok,False,0,stdout=True dur=0.066s expected=True
2026-03-01T12:31:34,google/gemma-3-12b,1,tooluse_01_calc,tooluse,True,8.0204,ok,True,1,got=162.0 expected=162 diff=0.0 tol=1e-06
2026-03-01T12:31:39,google/gemma-3-12b,1,tooluse_02_kv,tooluse,True,4.371,ok,True,1,ok
